date_time,wind_speed,wind_direction
28-06-2020 00:00,3.1,50
28-06-2020 01:00,3.1,50
28-06-2020 02:00,3.6,50
28-06-2020 03:00,4.6,20
28-06-2020 04:00,3.1,50
28-06-2020 05:00,4.6,50
28-06-2020 06:00,5.1,40
28-06-2020 07:00,6.7,40
28-06-2020 08:00,7.2,70
28-06-2020 09:00,6.7,90
28-06-2020 10:00,6.7,40
28-06-2020 11:00,7.7,20
28-06-2020 12:00,7.2,40
28-06-2020 13:00,8.2,50
28-06-2020 14:00,7.2,20
28-06-2020 15:00,6.7,20
28-06-2020 16:00,6.7,10
28-06-2020 17:00,6.2,10
28-06-2020 18:00,5.1,20
28-06-2020 19:00,4.1,20
28-06-2020 20:00,5.1,20
28-06-2020 21:00,3.6,30
28-06-2020 22:00,4.1,30
28-06-2020 23:00,3.1,40
29-06-2020 00:00,4.1,10
29-06-2020 01:00,3.1,20
29-06-2020 02:00,1.5,90
29-06-2020 03:00,2.6,40
29-06-2020 04:00,4.1,20
29-06-2020 05:00,3.6,30
29-06-2020 06:00,3.6,30
29-06-2020 07:00,3.1,10
29-06-2020 08:00,3.1,30
29-06-2020 09:00,3.1,0
29-06-2020 10:00,5.1,10
29-06-2020 11:00,5.7,20
29-06-2020 12:00,5.7,20
29-06-2020 13:00,5.1,20
29-06-2020 14:00,5.1,10
29-06-2020 15:00,5.1,30
29-06-2020 16:00,5.1,20
29-06-2020 17:00,4.6,30
29-06-2020 18:00,4.6,20
29-06-2020 19:00,3.6,40
29-06-2020 20:00,3.1,60
29-06-2020 21:00,2.6,40
29-06-2020 22:00,3.6,20
29-06-2020 23:00,1.5,30
30-06-2020 00:00,3.1,30
30-06-2020 01:00,1.5,80
30-06-2020 02:00,1.5,40
30-06-2020 03:00,1.0,20
30-06-2020 04:00,1.5,340
30-06-2020 05:00,1.5,80
30-06-2020 06:00,2.1,160
30-06-2020 07:00,1.5,130
30-06-2020 08:00,3.1,200
30-06-2020 09:00,3.1,220
30-06-2020 10:00,3.6,220
30-06-2020 11:00,3.6,240
30-06-2020 12:00,3.6,240
30-06-2020 13:00,5.1,250
30-06-2020 14:00,4.1,240
30-06-2020 15:00,3.6,250
30-06-2020 16:00,2.1,240
30-06-2020 17:00,2.1,240
30-06-2020 18:00,2.1,250
30-06-2020 19:00,2.1,100
30-06-2020 20:00,2.1,120
30-06-2020 21:00,1.5,70
30-06-2020 22:00,1.5,80
30-06-2020 23:00,1.0,0
01-07-2020 00:00,1.5,360
01-07-2020 01:00,2.6,330
01-07-2020 02:00,1.5,340
01-07-2020 03:00,3.1,330
01-07-2020 04:00,4.1,350
01-07-2020 05:00,6.7,360
01-07-2020 06:00,6.2,360
01-07-2020 07:00,5.7,360
01-07-2020 08:00,5.1,20
01-07-2020 09:00,5.7,10
01-07-2020 10:00,6.2,340
01-07-2020 11:00,4.6,340
01-07-2020 12:00,4.6,350
01-07-2020 13:00,5.1,360
01-07-2020 14:00,6.7,360
01-07-2020 15:00,7.2,10
01-07-2020 16:00,6.7,20
01-07-2020 17:00,6.2,360
01-07-2020 18:00,6.7,10
01-07-2020 19:00,5.7,20
01-07-2020 20:00,6.2,20
01-07-2020 21:00,5.7,20
01-07-2020 22:00,5.1,40
01-07-2020 23:00,4.6,50
02-07-2020 00:00,4.1,40
02-07-2020 01:00,5.1,360
02-07-2020 02:00,5.1,10
02-07-2020 03:00,5.1,10
02-07-2020 04:00,5.1,30
02-07-2020 05:00,4.1,40
02-07-2020 06:00,4.6,70
02-07-2020 07:00,5.7,30
02-07-2020 08:00,5.1,40
02-07-2020 09:00,6.2,30
02-07-2020 10:00,7.2,60
02-07-2020 11:00,7.2,50
02-07-2020 12:00,6.7,30
02-07-2020 13:00,7.2,20
02-07-2020 14:00,7.7,40
02-07-2020 15:00,8.7,50
02-07-2020 16:00,7.7,30
02-07-2020 17:00,7.2,40
02-07-2020 18:00,5.1,50
02-07-2020 19:00,6.2,50
02-07-2020 20:00,5.7,30
02-07-2020 21:00,4.6,30
02-07-2020 22:00,6.7,20
02-07-2020 23:00,5.7,10
03-07-2020 00:00,5.1,20
03-07-2020 01:00,5.1,30
03-07-2020 02:00,5.1,40
03-07-2020 03:00,3.1,50
03-07-2020 04:00,4.1,40
03-07-2020 05:00,4.1,40
03-07-2020 06:00,5.1,20
03-07-2020 07:00,5.1,30
03-07-2020 08:00,5.7,20
03-07-2020 09:00,5.7,50
03-07-2020 10:00,5.7,60
03-07-2020 11:00,5.1,50
03-07-2020 12:00,6.2,60
03-07-2020 13:00,5.7,40
03-07-2020 14:00,6.2,50
03-07-2020 15:00,6.2,50
03-07-2020 16:00,6.2,40
03-07-2020 17:00,6.7,30
03-07-2020 18:00,6.2,30
03-07-2020 19:00,5.1,40
03-07-2020 20:00,4.1,40
03-07-2020 21:00,3.6,30
03-07-2020 22:00,4.6,40
03-07-2020 23:00,4.1,40
04-07-2020 00:00,2.6,30
04-07-2020 01:00,3.1,40
04-07-2020 02:00,2.1,40
04-07-2020 03:00,2.1,30
04-07-2020 04:00,2.1,60
04-07-2020 05:00,3.1,80
04-07-2020 06:00,3.6,50
04-07-2020 07:00,3.1,50
04-07-2020 08:00,3.6,60
04-07-2020 09:00,4.1,50
04-07-2020 10:00,4.6,40
04-07-2020 11:00,5.1,50
04-07-2020 12:00,6.7,20
04-07-2020 13:00,7.2,10
04-07-2020 14:00,6.2,20
04-07-2020 15:00,7.2,20
04-07-2020 16:00,6.2,20
04-07-2020 17:00,6.2,40
04-07-2020 18:00,5.1,40
04-07-2020 19:00,4.1,60
04-07-2020 20:00,4.1,40
04-07-2020 21:00,4.1,20
04-07-2020 22:00,4.6,20
04-07-2020 23:00,3.6,50
05-07-2020 00:00,3.1,40
05-07-2020 01:00,3.6,20
05-07-2020 02:00,3.6,20
05-07-2020 03:00,3.1,20
05-07-2020 04:00,3.1,30
05-07-2020 05:00,4.6,50
05-07-2020 06:00,4.1,30
05-07-2020 07:00,5.7,10
05-07-2020 08:00,5.1,20
05-07-2020 09:00,5.7,20
05-07-2020 10:00,6.2,20
05-07-2020 11:00,7.2,10
05-07-2020 12:00,7.2,10
05-07-2020 13:00,7.7,20
05-07-2020 14:00,8.2,20
05-07-2020 15:00,8.7,20
05-07-2020 16:00,8.7,20
05-07-2020 17:00,6.7,20
05-07-2020 18:00,7.2,20
05-07-2020 19:00,4.6,40
05-07-2020 20:00,4.6,30
05-07-2020 21:00,3.6,40
05-07-2020 22:00,5.7,20
05-07-2020 23:00,4.1,20
06-07-2020 00:00,4.6,30
06-07-2020 01:00,4.1,30
06-07-2020 02:00,5.1,20
06-07-2020 03:00,5.1,40
06-07-2020 04:00,5.1,30
06-07-2020 05:00,6.2,20
06-07-2020 06:00,5.1,40
06-07-2020 07:00,5.7,20
06-07-2020 08:00,7.2,10
06-07-2020 09:00,7.7,10
06-07-2020 10:00,7.7,10
06-07-2020 11:00,7.7,50
06-07-2020 12:00,7.7,10
06-07-2020 13:00,8.7,20
06-07-2020 14:00,9.3,20
06-07-2020 15:00,8.2,20
06-07-2020 16:00,7.2,20
06-07-2020 17:00,6.7,50
06-07-2020 18:00,5.7,10
06-07-2020 19:00,6.2,20
06-07-2020 20:00,7.7,10
06-07-2020 21:00,6.2,10
06-07-2020 22:00,4.6,30
06-07-2020 23:00,3.6,40
07-07-2020 00:00,3.1,60
07-07-2020 01:00,4.1,20
07-07-2020 02:00,6.2,20
07-07-2020 03:00,4.6,30
07-07-2020 04:00,5.7,10
07-07-2020 05:00,4.6,30
07-07-2020 06:00,4.6,40
07-07-2020 07:00,4.1,60
07-07-2020 08:00,4.6,30
07-07-2020 09:00,2.1,190
07-07-2020 10:00,2.6,0
07-07-2020 11:00,5.1,40
07-07-2020 12:00,5.7,20
07-07-2020 13:00,5.1,10
07-07-2020 14:00,5.1,40
07-07-2020 15:00,3.1,30
07-07-2020 16:00,3.1,80
07-07-2020 17:00,6.2,340
07-07-2020 18:00,7.2,350
07-07-2020 19:00,6.2,360
07-07-2020 20:00,7.2,350
07-07-2020 21:00,9.3,360
07-07-2020 22:00,6.2,20
07-07-2020 23:00,8.2,10
08-07-2020 00:00,8.7,360
08-07-2020 01:00,9.8,350
08-07-2020 02:00,11.3,350
08-07-2020 03:00,11.8,360
08-07-2020 04:00,13.4,350
08-07-2020 05:00,11.8,360
08-07-2020 06:00,10.8,360
08-07-2020 07:00,12.3,360
08-07-2020 08:00,10.8,360
08-07-2020 09:00,9.8,360
08-07-2020 10:00,7.7,20
08-07-2020 11:00,9.3,10
08-07-2020 12:00,8.7,20
08-07-2020 13:00,7.7,10
08-07-2020 14:00,7.2,30
08-07-2020 15:00,7.7,20
08-07-2020 16:00,7.2,20
08-07-2020 17:00,8.2,10
08-07-2020 18:00,6.7,30
08-07-2020 19:00,5.1,30
08-07-2020 20:00,5.1,50
08-07-2020 21:00,5.7,50
08-07-2020 22:00,4.6,40
08-07-2020 23:00,4.1,40
